event,event_name,team_h,team_a,team_h_name,team_a_name,is_home,difficulty,kickoff_time
14,Gameweek 14,13,16,Man City,Nott'm Forest,TRUE,3,2024-12-04T19:30:00Z
15,Gameweek 15,7,13,Crystal Palace,Man City,FALSE,2,2024-12-07T15:00:00Z
16,Gameweek 16,13,14,Man City,Man Utd,TRUE,3,2024-12-15T16:30:00Z
17,Gameweek 17,2,13,Aston Villa,Man City,FALSE,4,2024-12-21T12:30:00Z
18,Gameweek 18,13,8,Man City,Everton,TRUE,2,2024-12-26T12:30:00Z
19,Gameweek 19,11,13,Leicester,Man City,FALSE,2,2024-12-29T14:30:00Z
20,Gameweek 20,13,19,Man City,West Ham,TRUE,2,2025-01-04T15:00:00Z
21,Gameweek 21,4,13,Brentford,Man City,FALSE,3,2025-01-14T19:30:00Z
22,Gameweek 22,10,13,Ipswich,Man City,FALSE,2,2025-01-19T16:30:00Z
23,Gameweek 23,13,6,Man City,Chelsea,TRUE,4,2025-01-25T17:30:00Z
24,Gameweek 24,1,13,Arsenal,Man City,FALSE,5,2025-02-01T15:00:00Z
25,Gameweek 25,13,15,Man City,Newcastle,TRUE,3,2025-02-15T15:00:00Z
26,Gameweek 26,13,12,Man City,Liverpool,TRUE,5,2025-02-22T15:00:00Z
27,Gameweek 27,18,13,Spurs,Man City,FALSE,4,2025-02-25T19:45:00Z
28,Gameweek 28,16,13,Nott'm Forest,Man City,FALSE,2,2025-03-08T15:00:00Z
29,Gameweek 29,13,5,Man City,Brighton,TRUE,2,2025-03-15T15:00:00Z
30,Gameweek 30,13,11,Man City,Leicester,TRUE,2,2025-04-02T18:45:00Z
31,Gameweek 31,14,13,Man Utd,Man City,FALSE,3,2025-04-05T14:00:00Z
32,Gameweek 32,13,7,Man City,Crystal Palace,TRUE,2,2025-04-12T14:00:00Z
33,Gameweek 33,8,13,Everton,Man City,FALSE,2,2025-04-19T14:00:00Z
34,Gameweek 34,13,2,Man City,Aston Villa,TRUE,3,2025-04-26T14:00:00Z
35,Gameweek 35,13,20,Man City,Wolves,TRUE,2,2025-05-03T14:00:00Z
36,Gameweek 36,17,13,Southampton,Man City,FALSE,2,2025-05-10T14:00:00Z
37,Gameweek 37,13,3,Man City,Bournemouth,TRUE,2,2025-05-18T14:00:00Z
38,Gameweek 38,9,13,Fulham,Man City,FALSE,3,2025-05-25T15:00:00Z
